set,course,specialization,type
Fall Elective Set 1,Private Equity,Banking,N
Fall Elective Set 1,Private Equity,Corporate Finance,N
Fall Elective Set 1,Private Equity,Finance,N
Fall Elective Set 1,Private Equity,Financial Instruments and Markets,N
Fall Elective Set 1,Private Equity,Strategy,S2
Fall Elective Set 1,Crisis Management,Leadership and Change Management,N
Fall Elective Set 1,Crisis Management,Management,N
Fall Elective Set 1,Social Entrepreneurship,Entrepreneurship and Innovation,N
Fall Elective Set 1,Social Entrepreneurship,Management,N
Fall Elective Set 1,Social Entrepreneurship,Sustatainable Business and Innovation,N
Fall Elective Set 2,Real Estate Investment Strategy,Finance,N
Fall Elective Set 2,Real Estate Investment Strategy,Financial Instruments and Markets,N
Fall Elective Set 2,Decision Models and Analytics,FinTech,N
Fall Elective Set 2,Decision Models and Analytics,Management,N
Fall Elective Set 2,Decision Models and Analytics,Management of Technology and Operations,N
Fall Elective Set 2,Corporate Finance (Fall),Corporate Finance,N
Fall Elective Set 2,Corporate Finance (Fall),Finance,N
Fall Elective Set 2,Managing Change,Healthcare,N
Fall Elective Set 2,Managing Change,Leadership and Change Management,N
Fall Elective Set 2,Managing Change,Management,N
Fall Elective Set 2,Managing Change,Strategy,S2
Fall Elective Set 3,Operations Strategy,Management of Technology and Operations,N
Fall Elective Set 3,Climate Finance,Banking,N
Fall Elective Set 3,Climate Finance,Corporate Finance,N
Fall Elective Set 3,Climate Finance,Finance,N
Fall Elective Set 3,Climate Finance,Financial Instruments and Markets,N
Fall Elective Set 3,Climate Finance,Global Business,N
Fall Elective Set 3,Climate Finance,Sustatainable Business and Innovation,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Brand Management,N
Fall Elective Set 3,Emerging Technology and Business Innovation,"Entertainment, Media, and Technology",N
Fall Elective Set 3,Emerging Technology and Business Innovation,Entrepreneurship and Innovation,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Management of Technology and Operations,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Strategy,S2
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media (Formerly ""New Media in Marketing"")",Brand Management,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media (Formerly ""New Media in Marketing"")","Entertainment, Media, and Technology",N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media (Formerly ""New Media in Marketing"")",Marketing,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media (Formerly ""New Media in Marketing"")",Management of Technology and Operations,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Banking,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Corporate Finance,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Finance,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Financial Instruments and Markets,N
Fall Elective Set 4,Behavioral Finance and Market Psychology,Banking,N
Fall Elective Set 4,Behavioral Finance and Market Psychology,Corporate Finance,N
Fall Elective Set 4,Behavioral Finance and Market Psychology,Finance,N
Fall Elective Set 4,Behavioral Finance and Market Psychology,Financial Instruments and Markets,N
Fall Elective Set 4,Behavioral Finance and Market Psychology,FinTech,N
Fall Elective Set 4,Corporate Governance,Leadership and Change Management,N
Fall Elective Set 4,Corporate Governance,Management,N
Fall Elective Set 4,Corporate Governance,Sustatainable Business and Innovation,N
Fall Elective Set 4,Corporate Governance,Strategy,S1
Fall Elective Set 4,Brand Strategy*,Brand Management,N
Fall Elective Set 4,Brand Strategy*,Marketing,N
Spring Elective Set 1,Global Immersion Experience II (Spring),Global Business,N
Spring Elective Set 1,"Collaboration, Conflict and Negotiation (Spring)",Leadership and Change Management,N
Spring Elective Set 1,"Collaboration, Conflict and Negotiation (Spring)",Management,N
Spring Elective Set 1,Conquering High Stakes Communication (Spring),Leadership and Change Management,N
Spring Elective Set 2,Consumer Behavior,Brand Management,N
Spring Elective Set 2,Consumer Behavior,Marketing,N
Spring Elective Set 2,The Business of Health & Medical Care,Healthcare,N
Spring Elective Set 2,The Business of Health & Medical Care,Strategy,S2
Spring Elective Set 2,Human Rights and Business,Global Business,N
Spring Elective Set 2,Human Rights and Business,Sustatainable Business and Innovation,N
Spring Elective Set 2,The Financial Services Industry,Banking,N
Spring Elective Set 2,The Financial Services Industry,Corporate Finance,N
Spring Elective Set 2,The Financial Services Industry,Finance,N
Spring Elective Set 2,The Financial Services Industry,Financial Instruments and Markets,N
Spring Elective Set 3,Mergers & Acquisitions,Corporate Finance,N
Spring Elective Set 3,Mergers & Acquisitions,Finance,N
Spring Elective Set 3,Mergers & Acquisitions,Leadership and Change Management,N
Spring Elective Set 3,Mergers & Acquisitions,Strategy,S1
Spring Elective Set 3,Digital Strategy,"Entertainment, Media, and Technology",N
Spring Elective Set 3,Digital Strategy,FinTech,N
Spring Elective Set 3,Digital Strategy,Management of Technology and Operations,N
Spring Elective Set 3,Digital Strategy,Strategy,S2
Spring Elective Set 3,Managing a High Tech Company: The CEO Perspective,"Entertainment, Media, and Technology",N
Spring Elective Set 3,Managing a High Tech Company: The CEO Perspective,Management,N
Spring Elective Set 3,Managing a High Tech Company: The CEO Perspective,Management of Technology and Operations,N
Spring Elective Set 3,Managing a High Tech Company: The CEO Perspective,Strategy,S2
