set,course,specialization,strategy_type,course_required
Fall Set 1,Decision Models and Analytics,Business Analytics,N,N
Fall Set 1,Decision Models and Analytics,Management,N,N
Fall Set 1,Decision Models and Analytics,Management of Tech & Ops,N,N
Fall Set 1,Conquering High Stakes Communication,Leadership,N,N
Fall Set 2,Managerial Decision Making,Leadership,N,N
Fall Set 2,Managerial Decision Making,Management,N,N
Fall Set 2,Managerial Decision Making,Management of Tech & Ops,N,N
Fall Set 2,Data Driven Decision Making,Business Analytics,N,N
Fall Set 2,Data Driven Decision Making,Management,N,N
Fall Set 2,Data Driven Decision Making,Management of Tech & Ops,N,N
Fall Set 2,Data Driven Decision Making,Marketing,N,N
Fall Set 3,Analytics and Machine Learning for Managers,Business Analytics,N,N
Fall Set 3,Analytics and Machine Learning for Managers,Management of Tech & Ops,N,N
Fall Set 3,Marketing Planning and Strategy,Marketing,N,N
Fall Set 4,"AI, Automation, and the Platform Revolution: Global Perspectives",Business Analytics,N,N
Fall Set 4,"AI, Automation, and the Platform Revolution: Global Perspectives",Management of Tech & Ops,N,N
Fall Set 4,Corporate Finance,Corporate Finance,N,N
Fall Set 4,Corporate Finance,Finance,N,N
Fall Set 5,Advanced Strategy,Leadership,N,N
Fall Set 5,Advanced Strategy,Management,N,N
Fall Set 5,Advanced Strategy,Strategy,S1,N
Fall Set 5,Behavioral Finance and Market Psychology,Banking,N,N
Fall Set 5,Behavioral Finance and Market Psychology,Corporate Finance,N,N
Fall Set 5,Behavioral Finance and Market Psychology,Finance,N,N
Fall Set 5,Behavioral Finance and Market Psychology,Financial Instruments and Markets,N,N
Spring Set 1,Managing Customers for Growth,Marketing,N,N
Spring Set 1,Operations Strategy,Management of Tech & Ops,N,N
Spring Set 2,Managing Change,Leadership,N,N
Spring Set 2,Managing Change,Management,N,N
Spring Set 2,Managing Change,Strategy,S2,N
Spring Set 2,Financial Statement Analysis,,N,N
Spring Set 3,"Technology, Innovation, and Disruption in Media",Management of Tech & Ops,N,N
Spring Set 3,"Technology, Innovation, and Disruption in Media",Marketing,N,N
Spring Set 3,Crisis Management,Leadership,N,N
Spring Set 3,Crisis Management,Management,N,N
Spring Set 4,Entertainment and Media Industries,Marketing,N,N
Spring Set 4,Entertainment and Media Industries,Strategy,S2,N
Spring Set 4,Valuation,Banking,N,N
Spring Set 4,Valuation,Corporate Finance,N,N
Spring Set 4,Valuation,Finance,N,N
Spring Set 4,Valuation,Financial Instruments and Markets,N,N
Spring Set 5,Power and Professional Influence (ONLINE),Leadership,N,N
Spring Set 5,Power and Professional Influence (ONLINE),Management,N,N
Spring Set 5,Year Two Global Immersion Experience,,N,N
Summer Set 1,Global Strategy,Management,N,N
Summer Set 1,Global Strategy,Strategy,S1,N
Summer Set 1,Private Equity,Banking,N,N
Summer Set 1,Private Equity,Corporate Finance,N,N
Summer Set 1,Private Equity,Finance,N,N
Summer Set 1,Private Equity,Financial Instruments and Markets,N,N
Summer Set 1,Private Equity,Strategy,S2,N
Summer Set 2,The Financial Services Industry,Banking,N,N
Summer Set 2,The Financial Services Industry,Corporate Finance,N,N
Summer Set 2,The Financial Services Industry,Finance,N,N
Summer Set 2,The Financial Services Industry,Financial Instruments and Markets,N,N
Summer Set 2,Technology Innovation Strategy,Management,N,N
Summer Set 2,Technology Innovation Strategy,Management of Tech & Ops,N,N
Summer Set 2,Technology Innovation Strategy,Marketing,N,N
Summer Set 2,Technology Innovation Strategy,Strategy,S1,N
