set,course,specialization,type
Fall Set 1,Decision Models and Analytics,Business Analytics,N
Fall Set 1,Decision Models and Analytics,Management,N
Fall Set 1,Decision Models and Analytics,Management of Tech & Ops,N
Fall Set 1,Conquering High Stakes Communication,Leadership,N
Fall Set 2,Managerial Decision Making,Leadership,N
Fall Set 2,Managerial Decision Making,Management,N
Fall Set 2,Managerial Decision Making,Management of Tech & Ops,N
Fall Set 2,Data Driven Decision Making,Business Analytics,N
Fall Set 2,Data Driven Decision Making,Management,N
Fall Set 2,Data Driven Decision Making,Management of Tech & Ops,N
Fall Set 2,Data Driven Decision Making,Marketing,N
Fall Set 3,Analytics and Machine Learning for Managers,Business Analytics,N
Fall Set 3,Analytics and Machine Learning for Managers,Management of Tech & Ops,N
Fall Set 3,Marketing Planning and Strategy,Marketing,N
Fall Set 4,"AI, Automation, and the Platform Revolution: Global Perspectives",Business Analytics,N
Fall Set 4,"AI, Automation, and the Platform Revolution: Global Perspectives",Management of Tech & Ops,N
Fall Set 4,Corporate Finance,Corporate Finance,N
Fall Set 4,Corporate Finance,Finance,N
Fall Set 5,Advanced Strategy,Leadership,N
Fall Set 5,Advanced Strategy,Management,N
Fall Set 5,Advanced Strategy,Strategy,S1
Fall Set 5,Behavioral Finance and Market Psychology,Banking,N
Fall Set 5,Behavioral Finance and Market Psychology,Corporate Finance,N
Fall Set 5,Behavioral Finance and Market Psychology,Finance,N
Fall Set 5,Behavioral Finance and Market Psychology,Financial Instruments and Markets,N
Spring Set 1,Managing Customers for Growth,Marketing,N
Spring Set 1,Operations Strategy,Management of Tech & Ops,N
Spring Set 2,Managing Change,Leadership,N
Spring Set 2,Managing Change,Management,N
Spring Set 2,Managing Change,Strategy,S2
Spring Set 2,Financial Statement Analysis,,N
Spring Set 3,"Technology, Innovation, and Disruption in Media",Management of Tech & Ops,N
Spring Set 3,"Technology, Innovation, and Disruption in Media",Marketing,N
Spring Set 3,Crisis Management,Leadership,N
Spring Set 3,Crisis Management,Management,N
Spring Set 4,Entertainment and Media Industries,Marketing,N
Spring Set 4,Entertainment and Media Industries,Strategy,S2
Spring Set 4,Valuation,Banking,N
Spring Set 4,Valuation,Corporate Finance,N
Spring Set 4,Valuation,Finance,N
Spring Set 4,Valuation,Financial Instruments and Markets,N
Spring Set 5,Power and Professional Influence (ONLINE),Leadership,N
Spring Set 5,Power and Professional Influence (ONLINE),Management,N
Spring Set 5,Year Two Global Immersion Experience,,N
Summer Set 1,Global Strategy,Management,N
Summer Set 1,Global Strategy,Strategy,S1
Summer Set 1,Private Equity,Banking,N
Summer Set 1,Private Equity,Corporate Finance,N
Summer Set 1,Private Equity,Finance,N
Summer Set 1,Private Equity,Financial Instruments and Markets,N
Summer Set 1,Private Equity,Strategy,S2
Summer Set 2,The Financial Services Industry,Banking,N
Summer Set 2,The Financial Services Industry,Corporate Finance,N
Summer Set 2,The Financial Services Industry,Finance,N
Summer Set 2,The Financial Services Industry,Financial Instruments and Markets,N
Summer Set 2,Technology Innovation Strategy,Management,N
Summer Set 2,Technology Innovation Strategy,Management of Tech & Ops,N
Summer Set 2,Technology Innovation Strategy,Marketing,N
Summer Set 2,Technology Innovation Strategy,Strategy,S1
